index,frequency,type
(c2ccccc2,3149,atom
2)C1,642,ring
c1ncnc2,324,ring
CN(C,709,atom
c1cc2ccccc2,79,ring
n1C,54,ring
)C(=O),737,functional_group
c1ccc(N,1498,ring
)nc1,693,ring
OC[C@H]1O,365,ionic
[C@@H](N,1680,ionic
=C(O),1798,functional_group
N=C,1821,functional_group
c2ccccc2),1829,atom
[C@H](O)[C@@H](O)[C@@H]1O,415,ionic
CCC(C)C1,195,ring
(CC,1928,atom
)C(=O)NC(=O)NC1=O,1068,functional_group
Cc1cn,235,ring
c(C(=O)N,514,functional_group
C3CCCCC3,349,atom
)cn1,622,ring
CC(C)O,25,atom
[P,142,ionic
H],286,atom
(C)C,3075,atom
Cc1ccccc1,1292,ring
Nc1,1212,ring
c(Cl)cccc1,154,ring
CCc1nc(,94,ring
c2ccccc2)c(,334,atom
C=C(,286,functional_group
c1ccc(C,1784,ring
(=O)O),2464,functional_group
cc2,1718,atom
C,4181,atom
)C(C)(C),344,atom
CCC2(C)C,259,atom
O=S(=O)(,64,functional_group
c1cccc2,741,ring
c(O),1348,atom
nccc1,12,ring
2)N,256,atom
=N/,1169,functional_group
CCC[C@H](N,367,ionic
)C(=O)O,2262,functional_group
CO,2964,atom
CC1=C(C(=O),248,functional_group
O)N,771,atom
2C(=O),353,functional_group
[C@@H](NC(=O),238,functional_group
C(=N\,485,functional_group
OC)c3,35,atom
csc(N)n,224,atom
3),1251,atom
[C@H]2,3980,ionic
SC,1005,atom
c(C)c2,497,atom
n3,483,atom
=C,4437,functional_group
c(C)c,245,atom
c4,1563,atom
[Fe],104,metal
n3c(,121,atom
c(C)c(CC,44,atom
)c3,1227,atom
C=,1146,functional_group
2)C,734,atom
=,1628,functional_group
c2c(C,264,atom
)c(CC,92,atom
C(=O)O),1224,functional_group
c(n2,18,atom
4,1036,atom
CCN(CC)CC(=O)N,68,functional_group
c1c(C)cccc1C,147,ring
Cc1cccc(CN,63,ring
2CCN(C,239,atom
(c3ccccc3,471,atom
)c3ccc(Cl)cc3,69,atom
)CC2)c1,144,ring
Nc1ccc(,342,ring
S(=O)(=O)N,1530,functional_group
ccc,651,atom
n2)cc1,630,ring
