index,frequency,type
C(=N,364,functional_group
C#N)N,143,atom
c[nH],709,ionic
c1C,716,ring
[S,748,ionic
b,94,atom
5,1535,atom
c2ccccc2)C,675,atom
[C@H](O)[C@H](C,327,ionic
c2ccccc2)NC(=O),350,functional_group
c2cn,699,atom
2)C(C)C,296,atom
)cs1,739,atom
cn2,205,atom
C#N,159,atom
[nH]c2,399,ionic
cc(Cl)cc(Cl,53,atom
)c12,207,ring
NCCC,144,atom
[C@H](N)C,338,ionic
(F),436,atom
O=C(N[C@@H]1,16,functional_group
C2CCN(CC2),15,atom
Cc1cccnc1,5,ring
ccccc2,463,atom
N=C(N,710,functional_group
cccc(CN,40,atom
c3cc4,459,atom
ccc(Cl)cc4,20,atom
s3,69,atom
2=O),13,functional_group
(F)(F)Cl,8,atom
cnc(N,323,atom
[C@@H](O)C2,15,ionic
c2ccn,78,atom
[nH]2)c1,79,ionic
CCCC[C@H](N,149,ionic
COc1cc2nc(N,404,ring
CCCNC(=O),208,functional_group
C3CCCO,156,atom
3)nc(N,421,atom
)c2cc1OC,507,ring
Cc1ccccc1S(=O)(=O)N,11,functional_group
c2ccc(C#N,284,atom
sc1,111,ring
(C)(C,367,atom
COC(=O)NC,51,functional_group
c1ccc2c(c1,1561,ring
)[C@H](NC(=O),12,functional_group
F)c(Cl,33,atom
[C@H](O)C(C)(C),108,ionic
O2,1242,atom
COC(=O)N[C@H](C(=O)N,378,functional_group
c1ccccc1)[C@@H](O),259,ionic
c2ccccn2,595,atom
)cc1)NC(=O),238,functional_group
[C@@H](NC(=O)OC,358,functional_group
)C(C)(C)C)C(C)(C)C,238,atom
CC(C)[C@H](NS(=O)(=O),30,functional_group
COC(=O)C1=C(C),671,functional_group
=C(C(=O)OC,464,functional_group
Cc1onc(,138,ring
C[C@H](N,755,ionic
CSc1cccc(,18,ring
N(C),281,atom
SC),115,atom
Cl)c1,71,ring
CC(C)c1,222,ring
)n1CC,118,ring
[C@@H](O)C[C@@H](O),211,ionic
CC(=O)O,1350,functional_group
CC(C)(C(=O)N,16,functional_group
(F)(F,31,atom
)C(F)(F)F)C(=O)N,16,functional_group
[C@@H]1C(=O)N,79,functional_group
CC(=O)N[C@H](C,131,functional_group
c1ccc(O)cc1)C(=O)N,48,functional_group
1CCC[C@@H]1,15,ionic
C(=O)N1C,36,functional_group
C(=O)NCC(=O)N,57,functional_group
[C@H](C)C(=O)N,49,functional_group
CC(N,490,atom
OC[C@H]1O[C@H](,90,ionic
OP(=O)(O)OP(=O)(O)O),83,functional_group
CN1CCN(C,543,atom
2=N,788,functional_group
c3cc(Cl)ccc3,400,atom
Nc3ccccc3,295,atom
CC(=O)N[C@@H](C,257,functional_group
S)C,35,atom
[C@H]1CC[C@H]2[C@@H]3CCC4,165,ionic
=CC(=O)CCC4,565,functional_group
3C=C,89,functional_group
[C@]12C,387,ionic
C[C@@H](C(=O)N,61,functional_group
1CCOCC1)N,61,ring
[C@H](NS(=O)(=O),126,functional_group
ccc(Cl)cc3,47,atom
s2,167,atom
CC(C)c1cc(,43,ring
Oc2,90,atom
c(Cl)cc(,36,atom
n3nc(C,8,atom
#N,405,atom
)c,2677,atom
[nH]c3,262,ionic
cc2Cl,33,atom
)n[nH],114,ionic
CCN1CC,245,atom
(CCN,184,atom
2CCOCC2)C,46,atom
)C1=C,50,functional_group
N(,133,atom
[C@@H]2O[C@H](C,486,ionic
OP(=O)([O-])O,88,functional_group
P(=O)(O),383,functional_group
OC[C@H]3,51,ionic
n4cnc5,511,atom
c(N)ncn,277,atom
[O-]),565,ionic
[O-],841,ionic
(=S,108,functional_group
)n(,70,atom
3CCCCCC3,74,atom
)cnc2n1,59,ring
CN2CC,476,atom
[C@H]1C,2510,ionic
[C@H]2[C@H](O),246,ionic
c1ccn,417,ring
c2ccc(OC)cc12,381,ring
C[C@@]1(O),44,ionic
[C@H](O)[C@@H](CO)O[C@H]1,33,ionic
)nc1O,38,ring
c1ccc(NS(=O)(=O),30,functional_group
c2ccsc2,82,atom
c(O)c1,601,ring
Oc1ccc(C,705,ring
(F)(F)F)cc,1664,atom
ccnc(C,162,atom
S(=O),423,functional_group
c3ccc(OC,157,atom
(F)F)cc3,80,atom
(F)F),94,atom
Cc1ccc(O)c(,85,ring
[C@H](CC,1238,ionic
N(C,441,atom
C(O),448,atom
O[C@H](CO)[C@@H](O)[C@H](O),392,ionic
CCOC(=O)C1,221,functional_group
CCN(C)CC,443,atom
Cn1cc(C,63,ring
c3cn,235,atom
)c4ccccc3,20,atom
4)C(=O)N,42,functional_group
OC[C@H]1O[C@@H](,623,ionic
c3cc4ccccc4,15,atom
)[C@H](O)[C@@H](O)[C@@H]1O,94,ionic
n2nc(,470,atom
c3ccccc3O),331,atom
P(=O)(O)O)C(=O)O,101,functional_group
C(=C\,573,functional_group
c1cs,84,ring
c(C),285,atom
n1),159,ring
[C@]2(C)CCC,75,ionic
[C@H](C)[C@H](O)[C@@H](C),64,ionic
C(=O)C(C)(C),112,functional_group
CCC(=O),369,functional_group
)N(CC,651,atom
CN1CCN(CC,632,atom
S),165,atom
[C@H](O)C,566,ionic
(CCCCCC,56,atom
n2ccnc2,128,atom
CN=C(,420,functional_group
O.O.,123,atom
O.,656,atom
[Na+].[Na+].,95,ionic
[Z,18,ionic
COc1ccc2c(c1)c,131,ring
c(C)n2,153,atom
OCC,2092,atom
CNC1,288,ring
)C1(C)C,115,ring
CN1CCC[C@H]1,36,ionic
c1cccnc1,716,ring
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O),124,functional_group
)B(O)O,156,atom
O=C(C,313,functional_group
1CCCCC1,135,ring
)N1,647,atom
2CCc3ccccc3C2,48,atom
2C(=O)N(C,26,functional_group
c3ccc(O)c(OC)c3,9,atom
)N(C,452,atom
c3ccccc3)C,301,atom
)ccc1O,339,ring
Cc1cc2,359,ring
c(s,293,atom
1)N,738,atom
N=C2,273,functional_group
COC(=O)[C@H]1,451,functional_group
[C@@H]2CC[C@H]1,141,ionic
N2C,240,atom
CC(C)CCn1,21,ring
S(=O)(=O)c3ccccc3,33,functional_group
N2,721,atom
OCC3,215,atom
CN(C(=O),182,functional_group
c4ccc(F)cc4)C,8,atom
NC(=N)c1ccc(,6,functional_group
2)cc1,753,ring
)C(N,151,atom
CCNCC1,536,ring
Cc1cn(,525,ring
[C@H](O)[C@@H](C,151,ionic
OP,345,atom
[nH]c1,627,ionic
[C@H]1Cc2ccccc2,22,ionic
C1=O)C(C)C,7,functional_group
(C)C)C(O),293,atom
(=N),346,functional_group
O)C(O),298,atom
[C@H]3C,584,ionic
c4cc(O),96,atom
cc(O)c4,89,atom
c4cc3,95,atom
ccc4,140,atom
[C@H](O[C@H],309,ionic
[C@](C),502,ionic
[C@H](C)O,199,ionic
)c3ccc(,43,atom
c(Cl)c3,45,atom
)Oc3,98,atom
Oc2ccc(cc2,107,atom
Cl),986,atom
CCN1CCCC1C,302,ring
NC(=O)c1cc(,299,functional_group
ccc1OC,301,ring
CN(CCO,219,atom
@](=O),231,functional_group
CC[C@H](,41,ionic
)C(=O)[O-],598,functional_group
OCCCCN,486,atom
c4cccc(Cl)c4,347,atom
)CC3)cc2,945,atom
CC(C)(NC(=O),10,functional_group
C1=C(O),23,functional_group
Oc3,151,atom
ccc4c3,31,atom
3CCN(CC,38,atom
2CC2),311,atom
[C@]3,1088,ionic
)c1nc(,15,ring
c2ccccc2)n,225,atom
CC(C)C,605,atom
[C@H](CN,311,ionic
)CC(=O)O,69,functional_group
c1nc(O),239,ring
c2c([nH],101,ionic
)N2C,24,atom
(F)(F),701,atom
F)c1,445,ring
Br)ccc1,13,ring
c1nn,143,ring
c1nc2ccccc2[nH]1,128,ionic
CCC1(CC,117,ring
CCN(CC)CCNC(=O)c1c(C),95,functional_group
[nH]c(,703,ionic
2\,234,atom
c3ccc(F)cc3,421,atom
)c1C,428,ring
CCN(C)C(=O),87,functional_group
N(C)C,998,atom
CC(=O)O[C@H]1C,407,functional_group
[C@@]2(C),310,ionic
[C@@]4(C)CC,284,ionic
[C@@H](O)[C@@H](C),234,ionic
[C@@H]4CC,252,ionic
)/,316,atom
=C(,1232,functional_group
CCC=C(C)C,261,functional_group
=[N+],559,functional_group
[B,168,ionic
i,184,atom
].,1382,atom
[O-,696,ionic
[OH-].[OH-].,340,ionic
[OH,334,ionic
-],717,atom
COc1ccc(C,558,ring
[C@@H](C)NC[C@H](O),53,ionic
CCOc1ccc(C,124,ring
c2nc3cc(,8,atom
)ccc3,174,atom
NC(=O)N,351,functional_group
c1ccccc1)C(=O)O,217,functional_group
2CCC[C@@H](C,64,ionic
N2C1=O,100,functional_group
[B-],103,ionic
(F)(F)F,544,atom
[C-],133,ionic
#,274,atom
CC(C)(C)OC,107,atom
[C,378,ionic
u,246,atom
CC(C)C(=O),136,functional_group
Oc2ccccc2,150,atom
c2csc(,119,atom
N=C3,40,functional_group
NCCCN,103,atom
)n2,497,atom
)c(C)c1,310,ring
(c1ccccc1),328,ring
[N+](C)(CC,55,ionic
OC(=O)C1,100,functional_group
1)C(C)C,245,atom
CCCN(CCC)C(=O),15,functional_group
C1=C,449,functional_group
c3ccc(C(=O)N,216,functional_group
4CCCC4)cc3,16,atom
OC(=O)N,264,functional_group
(CC(=O)O)C,9,functional_group
c2ccc(OCC,331,atom
c3nc(,64,atom
c4ccccc4),39,atom
oc3C,57,atom
(C)S,57,atom
c2ccc(F)cc2)c1,74,ring
\S,19,atom
[C@H](O)CO),256,ionic
)C(=O)N1,577,functional_group
Cc1c(,318,ring
F)cc1,360,ring
c1cn2,77,ring
C(=O)N1,801,functional_group
[C@H](C3),20,ionic
O[C@@H]1C,67,ionic
c1ccccc1)[C@H](O),348,ionic
CN1C,529,atom
[C@H]2CCCC,419,ionic
C(=O)NC(C)(C)C,310,functional_group
[C@]1(O),179,ionic
)[C@H](O),1198,ionic
=CC(=O)CC,671,functional_group
[C@]4(C)[C@H]3CC[C@]12C,190,ionic
CCC1=C(C),143,functional_group
[C@H](C)CC,354,ionic
CC[C@H]1OC(=O)[C@H](C)C(=O),197,functional_group
[C@H](C)[C@@H](O,265,ionic
(OC)C,440,atom
N(CCCC,195,atom
n3cnc(,188,atom
c4cccnc4,206,atom
CCCCCCCCCCCCCCCC,404,atom
OP(=O)(O),617,functional_group
OCC[N+](C)(C)C,168,ionic
)OC(=O),246,functional_group
c1cc(I,327,ring
Oc2cc(,110,atom
c(I)c2,152,atom
)c(I)c1)C(=O)O,91,functional_group
Cc1cc(CC,115,ring
CCCCCO,70,atom
3=N,114,functional_group
[C@@H](C)CO,31,ionic
on1,93,ring
C[C@@H](CO),79,ionic
NC(=O)[C@@H]1,128,functional_group
C=C2,232,functional_group
NC(=O)CN,201,functional_group
2CCN(Cc3ccccc3)CC2,15,atom
CCC1(O,8,ring
c2ccc(Oc3ccc(F)cc3,8,atom
CC(=O)N2,171,functional_group
c3c([nH]c4ccccc34),386,ionic
c2ccc3c(c2,944,atom
3)C1=O,162,functional_group
CC(C)(C,231,atom
OP(=O)(O)OP(=O)(O),479,functional_group
n2cnc3,535,atom
c(N)ncnc3,622,atom
[C@H](O)[C@@H]1,306,ionic
OP(=O)([O-]),75,functional_group
[C@@](C)(O),346,ionic
Cc1,585,ring
occc,42,atom
[Ga+3,42,ionic
OC1(C,19,ring
CCCCCC1,5,ring
ccc(C,573,atom
COc2ccccc2,162,atom
(F)F)c(,131,atom
2CC2,489,atom
c2ccccc2C(=O)O),152,functional_group
C[C@@H](C,474,ionic
(C)(C)C),296,atom
6,277,atom
(C(=O)O,26,functional_group
5),133,atom
[C@@]12O,28,ionic
c2cccnc2,467,atom
COc1ccc(OC)c(C,217,ring
NC(=O)C1,120,functional_group
NC(=O)[C@H](Cc2ccccc2)NC(=O),187,functional_group
c2c[nH]c3ccccc23)NC(=O),25,functional_group
c2cs,45,atom
c3ccccc2,14,atom
3)NC(=O),14,functional_group
CCNCC,147,atom
C[C@@H](O),466,ionic
[C@@H]1CSSC,169,ionic
c2ccccc2)N,104,atom
(O)CN,323,atom
(=O)O)CCN(CC(=O)O)CCN(CC(=O)O),8,functional_group
CC2,1023,atom
)C(O),897,atom
c2c[nH]c3ccccc2,32,ionic
3)C,343,atom
[C@@H](CCCCN,247,ionic
[C@@H]([C@@H](C),89,ionic
1)C(=O)O,115,functional_group
NS(=O)(=O)c1cc2,638,functional_group
C(F)(F)F),172,atom
NC(C,138,atom
S2(=O)=O,622,functional_group
CNC(=O)c1cc(,157,functional_group
Oc2ccc(,85,atom
c3cc(C,116,atom
(C)(C)C,1113,atom
)nn3,32,atom
c3ccc4ncccc4c3,12,atom
)ccn1,214,ring
CC[C@H](N,377,ionic
c1cc(C)nc2,12,ring
)cc3C,12,atom
)c(C),56,atom
nn1,261,ring
nc(C),172,atom
no,233,atom
NC(=O)CCCC,35,functional_group
[C@@H](S,74,ionic
(C)CC(=O)N,368,functional_group
c4ccc,108,atom
4)CC,269,atom
Nc1nccc(,208,ring
c3c(O),144,atom
ccnc3,26,atom
c(N)n,360,atom
Cc1[nH],45,ionic
cc(CCC(=O)O),16,functional_group
CC(=O)O),521,functional_group
c(CCC(=O)O),134,functional_group
c2ccccc12,326,ring
[C@@H](CO),583,ionic
Nc1ccc2,86,ring
ncc(,58,atom
c3cccc(N)c3,25,atom
)n2n1,16,ring
CCc1nn,232,ring
CN2,1016,atom
c3cccc(Cl)c3,398,atom
ccccc1,1107,ring
[C@H](N),848,ionic
CCCCCC(=O)O,19,functional_group
CC(C)(C)c1ccc(,54,ring
(O)CO,90,atom
)CC(O),497,atom
NC(,300,atom
COP(=O)(O)O,627,functional_group
CC2(C,11,atom
CC(C)N(CC,117,atom
C(C,1039,atom
ccccn1,845,ring
CCc1nc2,40,ring
c(O)n,383,atom
n(C,575,atom
O)c1O,92,ring
[C@@]1(,243,ionic
CCN(C,1111,atom
c2ccccc2)CC1,448,ring
c2ccc(OS(=O)(=O),116,functional_group
O)cc2,327,atom
cccc,454,atom
CCOC(=O)N,169,functional_group
c(OC,135,atom
c2c(,913,atom
cc(Br,99,atom
ns,189,atom
c1NC,12,ring
CCCCN1,453,atom
c2ccccc2C=C,548,functional_group
CN1CC,1012,atom
[nH]c3ccccc3,388,ionic
2)CC1,388,ring
n(,1329,atom
CCC(,1205,atom
c3no,388,atom
c4cc(F)ccc3,382,atom
4)CC1,389,ring
)CCCC,475,atom
OCCN1,55,atom
(N,817,atom
c2ccccc2)C1=O,32,functional_group
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1,76,ring
CN1CCOCC,93,atom
COc1ccccc1C(=O),109,functional_group
C2=O)C,243,functional_group
(C(=O)C,524,functional_group
[C@@H]3O,516,ionic
CNC(=O),494,functional_group
ccnc4cc(,19,atom
OCC5,19,atom
(N)CC,162,atom
)c(OC,407,atom
4)ccc12,25,ring
Cn1cnc2,96,ring
c(F)c(N,34,atom
c3ccc(Br)cc3,113,atom
F)c(C(=O)N,10,functional_group
Nc1nc(N)c2,186,ring
)c(N,526,atom
)nc2n1,161,ring
c3ccccc3)c(,85,atom
c3ccccc3)c12,75,ring
@,296,atom
c3ncc(C,158,atom
)c(OC)c3,135,atom
)nc2c1,144,ring
CC#,218,atom
CCOc1ccc(,160,ring
CCCS,100,atom
CCCC[C@@H]1,85,ionic
cc(C,1400,atom
)c(F)cc3,141,atom
COc1ccc(C(=O)N,163,functional_group
S(=O)(=O)CC2,12,functional_group
CC1(CO,22,ring
c2ccc(CC3,61,atom
SC(=O)NC3=O)cc2,71,functional_group
)CCCCC1,18,ring
COC(=O)[C@@H]1,140,functional_group
[C@@]23,132,ionic
O[C@@H]2C,554,ionic
[C@@]2(C)[C@@H](CC,140,ionic
4CC,759,atom
[C@H]13,132,ionic
O)C(=O)O,329,functional_group
cnccc2,45,atom
)c2ccc(,79,atom
c3ccc(O),29,atom
)cc2)CC1,431,ring
ccc(N,269,atom
[C@](C)(F),8,ionic
[C@@H]1OC(=O)C,41,functional_group
[C@@H](NC(=O)N,27,functional_group
1CCOCC1)C(=O)N,13,functional_group
c1ccccc1)CC,25,ring
c1[nH]cnc1,26,ionic
CCCCCCCCCCC,184,atom
[N+](C)(C),220,ionic
n[nH],141,ionic
c2C)cc1,22,ring
CCCc1n,195,ring
(C)(C)O),94,atom
c2nnn[nH],152,ionic
CC(CN1,133,atom
Sc2ccccc2,463,atom
c1ncc(,225,ring
c4cnc(,98,atom
[C@@H]5CCCN5C(=O),107,functional_group
)C(C)C),211,atom
[nH]4,116,ionic
CC1(C),301,ring
[C@H]3[C@@H]4C,134,ionic
[C@H](F)C,132,ionic
=CC(=O)C=C,560,functional_group
[C@]5(C)[C@H]4,179,ionic
[C@]3(C),344,ionic
[C@]2,661,ionic
Cl)N,609,atom
=CC1,48,functional_group
)C(=O)NO,29,functional_group
(Cl),363,atom
c2ccc(OC)cc2,158,atom
)c2ccc(OC,112,atom
Nc1n[nH],29,ionic
c2nnc(,43,atom
c4ccccc4)n,55,atom
n4,368,atom
ccccc34,11,atom
[C@H]3[C@@H](C,29,ionic
)C4,105,atom
c2sccc2,226,atom
NC(=O)C(,489,functional_group
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C,70,functional_group
[C@H]3OC[C@@]3,70,ionic
(OC,641,atom
[C@H](OC(=O)c2ccccc2),76,functional_group
O[C@H]2,939,ionic
[C@H](CC(C)C)NC(=O),35,functional_group
OC(C)(C)C,285,atom
)C(C),205,atom
C3(C)C,17,atom
NC(=O)C,672,functional_group
[C@H]2C3=CC,22,functional_group
[C@@H]4[C@@]5(C)C,22,ionic
[C@@](C)(CO),22,ionic
[C@@H]5CC[C@@]4(C)[C@]3(C)CC,16,ionic
O[C@@H]2O[C@H](C,11,ionic
O[C@H](CO)[C@@H](O,171,ionic
O[C@@H](C)[C@H](O)[C@@H](O),54,ionic
[C@H]4,1045,ionic
[C@H]3O),889,ionic
CC[C@H]1,118,ionic
c1ccc(C)cc1,235,ring
cc(Cl)cc(,41,atom
c(Cl,83,atom
c2cnn3C,10,atom
c2n[nH],328,ionic
c3ncccc2,41,atom
3)c1,252,ring
c(Cl)cc2,128,atom
NC1,601,ring
c1[nH],1040,ionic
SC[C@@H]2NC(=O)N,98,functional_group
[C@H]12,442,ionic
c1ccc(OC)cc1,96,ring
ncccn,9,atom
COc1ccccc1,645,ring
OCC(O),214,atom
CN1CCN(CC(=O)N,166,functional_group
c2c(C)cccc2,169,atom
C)CC1,153,ring
ccc3c2,76,atom
2CC3CC(CC(C3)C1)C2,56,ring
CCCN1C(=O),131,functional_group
c2cccc,224,atom
(CO),197,atom
n2),130,atom
CN1CCCCC1,96,ring
=O)cc2,267,functional_group
[C@@H](C)C(=O)N,531,functional_group
C1Cc2ccccc2,22,ring
c5ccc(,546,atom
O)c4,542,atom
C(=O)CC,701,functional_group
C(=O)N[C@@H](CC,831,functional_group
(C)[C@@H](CC,282,ionic
(C)C)C(=O)N[C@@H](C,333,functional_group
[C@@H](CC(C)C)C(=O)N,881,functional_group
C(=O)N(C),325,functional_group
(C)[C@@H](C,530,ionic
OC[C@@H]1C,46,ionic
n2ccc3,42,atom
[C@H]4CC,214,ionic
cnc3,79,atom
[C@@H]1O,949,ionic
[C@@H](CC=C,18,functional_group
[C@@H](O[C@H]4C,33,ionic
[C@H](O[C@H]5C,8,ionic
[C@H](O[C@@H]6,50,ionic
[C@H]6O),8,ionic
[C@@H](C)O,297,ionic
[C@@]2(O)CC,115,ionic
[C@@]12C,105,ionic
Cc1c(N,197,ring
)n1C,138,ring
cc(OC)c(OC,75,atom
)cc2C,152,atom
CC#C,387,atom
=C3,506,functional_group
Oc1cc2,65,ring
CC(C)C[C@H](NC(=O),67,functional_group
CCCC(CCC,167,atom
CC(C)(C)NC(=O),224,functional_group
[C@@H]1CN(C,235,ionic
c2cccnc2),211,atom
[C@@H](O)C[C@@H](C,218,ionic
c1ccccc1)NC(=O),194,functional_group
[C@@H](N)CCCCN,229,ionic
c3cc(,523,atom
c(Cl)c(OC,48,atom
)cc(OC)c4,8,atom
Cl)n,15,atom
cn3,130,atom
OP(=O),75,functional_group
n2ccnc2)cc1,43,ring
C[C@H]1O,186,ionic
[C@H](O[C@@H]2,361,ionic
[C@@H](CO)O,459,ionic
[C@H](O)[C@@H](O),746,ionic
N[C@H]1,217,ionic
[C@@H](O)[C@H](O)[C@H]1O,160,ionic
C(C)(C)C)C(=O),84,functional_group
c1cccc(Cl)c1,315,ring
nc12,238,ring
(=,120,functional_group
NC(=O)C2=C(O),108,functional_group
c3ccccc3S(=O)(=O)N,114,functional_group
OC1,673,ring
C2=NCCN2,39,functional_group
c3ccccc3)cc2,240,atom
OP(=O)(O)O)[C@@H](O),440,functional_group
OP(=O)(O)O,505,functional_group
Cc1cccc(C)c1OCC(=O)N,103,functional_group
c1ccccc1)NC(=O)[C@H](C,88,functional_group
c2n1,414,ring
c1ccc(Cl)cc,370,ring
CCCCN,534,atom
Cc1ccc2[nH],53,ionic
(C)C)c2c1,57,ring
CCCCCNC(=O),24,functional_group
O=C1N,665,functional_group
c2ccc(Cl)cc2C,214,atom
C1O,253,ring
NC(=O)[C@H](C,302,functional_group
S)NC(=O),39,functional_group
OCc1ccccc1,211,ring
N=C(N)N,460,functional_group
[C@@H]1CS,130,ionic
CCC(=O)N[C@@H](C,123,functional_group
)C(=O)N[C@@H](Cc2ccccc2,118,functional_group
)C(=O)N[C@@H](CC,375,functional_group
Cc1ncc2,90,ring
[C@@]1(CC,189,ionic
)c2cccc(,269,atom
n3)c2,205,atom
FC(F)(F)c1cccc(,23,ring
N2CCN(CC,42,atom
c3nn,44,atom
c4n3C,10,atom
[C@@H]3CCC,30,ionic
C[C@H](C,470,ionic
S)C(=O)N,97,functional_group
CO[C@H](,52,ionic
[C@@](C,453,ionic
(N=C,66,functional_group
)N=C1,6,functional_group
OP(=O)(O)OP(=O)(O)OC,177,functional_group
[n+]3,45,ionic
[C@@H]2O),401,ionic
[C@@H](O)[C@H]1O,395,ionic
(C)C2,21,atom
OC(=O)c1,47,functional_group
1)C(=O),482,functional_group
O[C@H]1,1637,ionic
[C@@H](C2)N,749,ionic
14,739,atom
NC(=O)[C@@H]2CCCN2C(=O),117,functional_group
2CCCC2)cc1,51,ring
Nc2nc(N)n,12,atom
c3c(Cl,65,atom
)ccc4,158,atom
ccc34,59,atom
)n2)cc1,169,ring
C[C@]12CC,408,ionic
c4ccc(O)cc4,176,atom
CC[C@H]3,224,ionic
[C@@H]1CC[C@@H]2O,197,ionic
CC(C)C[C@H](NC(=O)[C@@H](C,224,functional_group
)NC(=O)[C@H](C,205,functional_group
c1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](C,218,functional_group
c1c[nH]c2ccccc12)NC(=O)[C@H](C,244,functional_group
c1cnc[nH]1)NC(=O),325,functional_group
CCC(=O)N1,242,functional_group
)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N,192,functional_group
1CCC[C@H]1C(=O)N,469,functional_group
ncn(,521,atom
c4ccc(OC,579,atom
n6cncn,470,atom
6),545,atom
c6ccc(Cl)cc6,252,atom
5)cc4,488,atom
C[C@@H](O)[C@@H]1,156,ionic
NC(=O)[C@H](CCCCN)NC(=O)[C@@H](C,156,functional_group
c2c[nH]c3ccccc23),275,ionic
NC(=O)[C@H](N)C,163,functional_group
SSC,255,atom
[C@@H](C(=O)N,542,functional_group
cc(C(=O)NC,64,functional_group
c4ccc(F)cc4,74,atom
c(O)c3,55,atom
C(=O)N2,511,functional_group
C[C@]12CC[C@H]3[C@@H](C,25,ionic
=CC4,47,functional_group
C(=O)O1,53,functional_group
1/,318,atom
\C=C,212,functional_group
2/,673,atom
[C@@]3(C),177,ionic
C2CC2,166,atom
n1c(C,25,ring
(C)c2ccccc2,25,atom
[1,155,ionic
3N,11,atom
H3,32,atom
CC(C)(C)C(=O)OC,48,functional_group
OC(=O)[C@@H]1,110,functional_group
N2C(=O),221,functional_group
=CN,50,functional_group
3CCCCCC,25,atom
SC1,105,ring
c2cc(N,116,atom
)ccc12,30,ring
CCOC(=O)C1=C(C,131,functional_group
c1ccccc1Cl,286,ring
CC(C)[C@@H]1,41,ionic
NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](C,8,functional_group
c2ccc(O)cc2)NC(=O)[C@H](C,8,functional_group
c2ccccc2)N(C)C(=O),8,functional_group
SCC(=O)N,26,functional_group
)C(=O)N[C@@H](CCCCN,89,functional_group
)C(=O)N[C@@H](CS,8,functional_group
=O)N,87,functional_group
[C@@H]1NC(=O)[C@@H](C,45,functional_group
NC(=O)[C@H],195,functional_group
)NC(=O),254,functional_group
[C@@H](OC(=O)N,54,functional_group
c2ccccc2)NC(=O)[C@H](C,87,functional_group
c2ccc(OCc3ccccc3)cc2,45,atom
)NC1=O,98,functional_group
C=C(C,71,functional_group
C(=O)O)\,6,functional_group
(C(=O)O)c2,87,functional_group
COc1ccc2nc(,77,ring
CC[C@H]1C,22,ionic
c2ccc(OCCCC,10,atom
c3cc(C),25,atom
c2ccccn2),119,atom
S1(=O)=O,269,functional_group
[N+](=O)[O-])c2,126,functional_group
Cc1c(C)c2,143,ring
c(C)c1,348,ring
CC3,253,atom
SC(=O)N,56,functional_group
)O2,63,atom
CC[C@@H](CO),34,ionic
c(C)n,151,atom
)(N,49,atom
[C@H]3CN(C,12,ionic
c4ccccc4)C(=O),12,functional_group
CC[C@]1,47,ionic
=CCCC,114,functional_group
[C@@](O)(,109,ionic
[C@@H](C)[C@H](O),91,ionic
[C@H]2OC(=O),38,functional_group
(OC),78,atom
OC)C,52,atom
CCCCCCCCCCCCCC,59,atom
CCCCCCC,259,atom
c2cc(OC)c(OC)cc2,12,atom
CCc1ccc(C,44,ring
c1ccccn1,80,ring
O=C1Oc2ccccc2,13,functional_group
C(=O),1756,functional_group
[C@@H]1C[C@H]1,27,ionic
c2ccccc2C1=O,131,functional_group
COCC,344,atom
OCC(O)CNC,444,atom
(C)C)cc1,934,ring
CC(=O)OC1,28,functional_group
[C@@](C)(CC,42,ionic
[C@@]2(C)C,321,ionic
[C@@]12,162,ionic
[C@H](COC,35,ionic
C3=C(C(=O),47,functional_group
=C(N,91,functional_group
)C3=O),42,functional_group
C[C@@H]1N,32,ionic
CN(C)C(=O)C,24,functional_group
(CCN1,14,atom
)(,525,atom
[K+].,58,ionic
[K,297,ionic
CCOC(=O)N1,120,functional_group
CCC(N,302,atom
cc(Cl)cc,30,atom
Fc1ccc(,397,ring
CCNC,408,atom
[C@H]2CO,387,ionic
3)cc1,668,ring
O=C(N[C@H]1,42,functional_group
ccc(Cl)s,36,atom
CO[C@]12CC[C@@]3(C,232,ionic
c4ccc(O),301,atom
c5c4,386,atom
[C@@]3(CC,248,ionic
CC1CC1,239,ring
COc1cccc2,551,ring
n2C,430,atom
C2=C1,81,functional_group
O=C(NCCN1,147,functional_group
CCOCC1,206,ring
(CCCC)(CCCC,7,atom
COc1ncc(,12,ring
nccc(,37,atom
ccnn,12,atom
)c3c2,311,atom
NS(=O)(=O)c1ccc(,100,functional_group
c(F)cccc1,26,ring
[Zn,208,ionic
COC(=O)C1=C(,9,functional_group
2)S,26,atom
[C@@H]([C@@H](C)O)C(=O)N,216,functional_group
12,275,atom
Clc1ccccc1,147,ring
(C)C1,257,ring
CO[C@@H]1,293,ionic
O[C@H](CO)[C@H](O)[C@H](O),301,ionic
[C@@H](NS(=O)(=O),47,functional_group
c2ccccc2)cc1,505,ring
Nc1n,616,ring
Cc1cccc(,491,ring
CC(C)[C@H](N,110,ionic
[C@@H](OC,332,ionic
Cc1cccc,55,ring
)C(C)C)C,34,atom
c2cc(Br)c(O)c(Br,50,atom
